mode,n_runs,energy_cost_mean,energy_cost_sd,energy_cost_median,energy_cost_best,energy_cost_worst,reheat_kwh_mean,reheat_kwh_sd,reheat_kwh_median,reheat_kwh_best,reheat_kwh_worst,holding_min_mean,holding_min_sd,holding_min_median,holding_min_best,holding_min_worst,poured_batches_mean,poured_batches_sd,poured_batches_median,poured_batches_best,poured_batches_worst,missing_batches_mean,missing_batches_sd,missing_batches_median,missing_batches_best,missing_batches_worst,peak_kw_mean,peak_kw_sd,peak_kw_median,peak_kw_best,peak_kw_worst,solar_saving_mean,solar_saving_sd,solar_saving_median,solar_saving_best,solar_saving_worst,tier
energy,20,28346.320348333342,168.57263404055217,28302.073083333336,28139.604712500004,28805.2189375,31.1875,67.91938580957576,3.75,0.0,300.0,4.15,9.056903444334603,0.5,0.0,40.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1351.135807687268,9.960865354917946,1346.2119510451553,1346.0572400848046,1371.0572400848046,1058.1273787500004,207.06407911516513,1113.0860000000005,1356.5735625000016,742.0573333333338,reduced
service,20,28044.017059583333,80.38242872377549,28039.262933333335,27956.302433333334,28214.49026666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1371.0572400848043,2.2737367544323206e-13,1371.0572400848046,1371.0572400848046,1371.0572400848046,911.1072695833342,6.261108750000017,909.0202333333342,929.8905958333343,909.0202333333342,reduced
energy,3,28349.798689583335,83.46104718176578,28339.707318750003,28253.00016666667,28456.688583333336,13.055555555555557,13.511540563350344,7.5,0.0,31.666666666666668,1.6666666666666667,1.699673171197595,1.0,0.0,4.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1346.182625016136,0.04147326796979096,1346.2119510451553,1346.123972958097,1346.2119510451553,1023.8072270833336,167.0782698094421,1123.52118125,1159.4645833333336,788.4359166666671,bridge
service,3,28051.114433333336,0.0,28051.114433333336,28051.114433333336,28051.114433333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1371.0572400848043,2.2737367544323206e-13,1371.0572400848046,1371.0572400848046,1371.0572400848046,909.0202333333342,0.0,909.0202333333342,909.0202333333342,909.0202333333342,bridge
