policy,n_episodes,duration_mean_min,duration_sd_min,energy_mean_kwh,energy_sd_kwh,success_rate,mean_overshoot_c,overshoot_rate
dqn_final,100,91.1,2.951270912674741,591.5829999999996,18.348035889435113,1.0,4.559042970298812,1.0
always_max_450kw,100,79.27,6.5266453864140646,626.9426999999994,52.27842954517662,1.0,4.4690591512584055,1.0
expert_profile,100,88.78,1.8739263592788276,592.7577999999996,15.01015013782339,1.0,4.309877058338045,1.0
