parameter,value,best_fitness,final_fitness,convergence_generation,diversity_maintenance,execution_time,fitness_improvement,convergence_rate
mutation_rate,0.01,887333.75,887333.75,35,0.0,37.63646173477173,0.9997098594926528,152869972.54098386
mutation_rate,0.05,886336.0,886336.0,40,0.0,38.18296790122986,0.9997101857370803,152869722.50348383
mutation_rate,0.1,889330.75,889330.75,22,0.0,43.73736619949341,0.9997092065133277,152869972.71598384
mutation_rate,0.2,887333.5,887333.5,36,0.0,38.20086979866028,0.9997098595743978,152867612.0950121
