parameter,value,best_fitness,final_fitness,convergence_generation,diversity_maintenance,execution_time,fitness_improvement,convergence_rate
population_size,50,889328.5,889328.5,34,0.0,14.583209991455078,0.999709207249033,152867912.5325121
population_size,100,888331.0,888331.0,18,0.0,26.26333785057068,0.9997095334117154,152861439.1629504
population_size,150,889330.75,889330.75,22,0.0,43.63239908218384,0.9997092065133277,152869972.71598384
population_size,200,888331.0,888331.0,30,0.0,50.92311382293701,0.9997095334117154,152869472.64098385
